    0.135639386759047298E+00    0.235847318927203276E+01   -0.193645922694181607E+02   -0.204614887942839596E+04
    0.133002828059309408E+00    0.253341584464210889E+01   -0.193630587576795321E+02   -0.204560446192021459E+04
    0.136759273061382913E+00    0.261373716167356829E+01   -0.193488949831759847E+02   -0.204537561267650563E+04
    0.132563230764511264E+00    0.241968602847024528E+01   -0.193653244133342604E+02   -0.204504944319284118E+04
    0.143691916568229328E+00    0.239128933133758714E+01   -0.193658335946953848E+02   -0.204438279510516259E+04
    0.129248389870061597E+00    0.247463767472331764E+01   -0.193585129395207289E+02   -0.204436338764647053E+04
    0.131547053076765952E+00    0.252784207760752633E+01   -0.193608796167327739E+02   -0.204412947310692948E+04
    0.135343927950676068E+00    0.239363460187095356E+01   -0.193656598701300311E+02   -0.204411828987926128E+04
    0.132033618492160887E+00    0.257990078232485054E+01   -0.193525710795299126E+02   -0.204392673845970376E+04
    0.146738406334288918E+00    0.251570808168340765E+01   -0.193527109482201283E+02   -0.204387314708526583E+04
    0.132466558783900901E+00    0.256696035386866228E+01   -0.193574964059812160E+02   -0.204378843997574859E+04
    0.144325187322773552E+00    0.253463581193081300E+01   -0.193606897239611833E+02   -0.204368924620423491E+04
    0.145300297153549973E+00    0.243686128162025994E+01   -0.193644844365439859E+02   -0.204351361404265913E+04
    0.129919415260726367E+00    0.248170883095295558E+01   -0.193561087600993957E+02   -0.204330906672300716E+04
    0.137025678102383530E+00    0.242092347749545933E+01   -0.193666133394377411E+02   -0.204322120121248145E+04
    0.142347777632734207E+00    0.244984531956467677E+01   -0.193512418395182237E+02   -0.204321130003101030E+04
    0.138062966266995879E+00    0.251047806341294866E+01   -0.193477693845557788E+02   -0.204319774154448760E+04
    0.141265215431000346E+00    0.238577902529354446E+01   -0.193650523472869267E+02   -0.204305477104824604E+04
    0.136437875196028902E+00    0.238238790859191774E+01   -0.193596667934614324E+02   -0.204302124789138179E+04
    0.144481744557728664E+00    0.243217140318932135E+01   -0.193542136531533373E+02   -0.204297369065670773E+04
    0.145933922542031969E+00    0.250054826725261226E+01   -0.193524570258525195E+02   -0.204296659440276153E+04
    0.138679008289056771E+00    0.258404924562973193E+01   -0.193491333613533953E+02   -0.204291936076404795E+04
    0.134329014441249672E+00    0.242984417676080167E+01   -0.193647272855826813E+02   -0.204270130950744078E+04
    0.138767350466760586E+00    0.245040266013883379E+01   -0.193663753016379339E+02   -0.204270032113057619E+04
    0.130943476703938355E+00    0.248365505691108179E+01   -0.193602364389287729E+02   -0.204265786465978772E+04
    0.144846686090064569E+00    0.254915764047147864E+01   -0.193555483803166233E+02   -0.204264786044945276E+04
    0.132311493850596484E+00    0.255962786913609008E+01   -0.193560045126565186E+02   -0.204260919147915297E+04
    0.141525242627778880E+00    0.257061442405471752E+01   -0.193572515550839874E+02   -0.204259380959616237E+04
    0.131293242247942477E+00    0.250761829282521553E+01   -0.193598076933957977E+02   -0.204255974742642388E+04
    0.136284690865029035E+00    0.242357347439338344E+01   -0.193537765917814752E+02   -0.204250493896884359E+04
    0.139011338719421396E+00    0.254248572421733687E+01   -0.193615121481105668E+02   -0.204248891835816221E+04
    0.132531816273290914E+00    0.242980854960963466E+01   -0.193571442801369464E+02   -0.204243451826690102E+04
    0.141906718572709423E+00    0.249942155780286690E+01   -0.193637459800886091E+02   -0.204237362137284390E+04
    0.135194462449276021E+00    0.253844508097537691E+01   -0.193610949362089677E+02   -0.204236708573019837E+04
    0.141238850605648558E+00    0.257384859649348918E+01   -0.193506603497455600E+02   -0.204227195086861957E+04
    0.139984805605320783E+00    0.252696582898145117E+01   -0.193624317170432860E+02   -0.204225122575579803E+04
    0.136947752793160404E+00    0.256353315038824281E+01   -0.193589713937814203E+02   -0.204222525706573151E+04
    0.143174173620917777E+00    0.246225877513254865E+01   -0.193645266708531381E+02   -0.204221626924411521E+04
    0.145594008983244816E+00    0.245375023781545654E+01   -0.193549091324846820E+02   -0.204220496330626543E+04
    0.137519156502632356E+00    0.258170508579431512E+01   -0.193561394978488224E+02   -0.204219560879739379E+04
    0.144327374770440109E+00    0.243316693247692761E+01   -0.193550189088394085E+02   -0.204214577590936346E+04
    0.143405137823024553E+00    0.245992909855787012E+01   -0.193521971892654001E+02   -0.204212969785607447E+04
