   -0.181511235237121582E+01   -0.419751405715942383E+01   -0.150945013761520386E+02    0.654251277446746826E+00    0.767578840255737305E+00   -0.415560007095336914E-01   -0.177948890888083470E+07   -0.599146350544150419E+01    1
   -0.973195791244506836E+00   -0.452256202697753906E+01   -0.151112830638885498E+02    0.531615436077117920E+00   -0.619305253028869629E+00    0.983874201774597168E+00   -0.169973066225372697E+07   -0.599396350544151169E+01    1
   -0.167132282257080078E+01   -0.251338124275207520E+01   -0.151489938497543335E+02    0.809471309185028076E+00    0.672201395034790039E+00   -0.385259389877319336E+00   -0.167500919804441021E+07   -0.599646350544151474E+01    1
    0.161825656890869141E+01   -0.927531719207763672E+00   -0.151828629970550537E+02    0.227945923805236816E+00   -0.761469364166259766E+00    0.256411314010620117E+00   -0.167279198016252229E+07   -0.599896350544151957E+01    1
   -0.995413064956665039E+00   -0.444867789745330811E+01   -0.150652592182159424E+02    0.730525851249694824E-01    0.565167665481567383E-01   -0.147305727005004883E-01   -0.167209591003985424E+07   -0.600146350544151552E+01    1
    0.143624067306518555E+01   -0.376506626605987549E+01   -0.152480170726776123E+02    0.464412808418273926E+00   -0.845789074897766113E+00    0.793063402175903320E+00   -0.164398238426461653E+07   -0.600396350544151858E+01    1
    0.160284328460693359E+01   -0.454454898834228516E+01   -0.154288244247436523E+02    0.154658317565917969E+00   -0.717851161956787109E+00   -0.693925261497497559E+00   -0.163385860742667853E+07   -0.600646350544151630E+01    1
   -0.193592691421508789E+01    0.228416323661804199E+01   -0.152628993988037109E+02    0.422484040260314941E+00   -0.621683597564697266E+00    0.146853923797607422E-02   -0.161962817843672447E+07   -0.600896350544152469E+01    1
    0.182434797286987305E+01    0.202629446983337402E+01   -0.150069612264633179E+02    0.181723952293395996E+00    0.162341833114624023E+00    0.977634549140930176E+00   -0.161801714927472058E+07   -0.601146350544151886E+01    1
    0.730683803558349609E+00   -0.177462100982666016E+01   -0.151387027502059937E+02    0.568780303001403809E-01   -0.771580934524536133E+00    0.454803109169006348E+00   -0.161769978374837758E+07   -0.601396350544150859E+01    1
   -0.194733738899230957E+01    0.380358994007110596E+01   -0.152341958284378052E+02    0.226369261741638184E+00   -0.507446408271789551E+00   -0.659821867942810059E+00   -0.161678590347717050E+07   -0.601646350544151520E+01    1
   -0.351980924606323242E+00   -0.851906538009643555E+00   -0.150730576515197754E+02    0.187196016311645508E+00   -0.571075439453125000E+00    0.417101263999938965E+00   -0.156458766999992914E+07   -0.601896350544151559E+01    1
    0.153225946426391602E+01   -0.294617414474487305E+00   -0.151632417440414429E+02    0.870019376277923584E+00    0.619136095046997070E-01   -0.941262245178222656E-01   -0.154101319852030440E+07   -0.602146350544152753E+01    1
