    0.138912697723194700E+00    0.248204551318179334E+01   -0.193254477988832214E+02    0.306957247027820845E+00   -0.804753889132453271E+00   -0.199842577609238970E+04
    0.124898636517009276E+00    0.248636335005670972E+01   -0.193050913629318188E+02    0.681962926783500900E-01   -0.506130992230230836E+00   -0.199824367202305075E+04
    0.136210569373131918E+00    0.246694693815855182E+01   -0.193323723336957620E+02    0.164862078984279486E+00   -0.687335454446985628E+00   -0.199795922444287135E+04
    0.125982967089649733E+00    0.251259841623398295E+01   -0.193207963561798159E+02    0.436135457363956008E-01   -0.541260181267742890E+00   -0.199780687555512191E+04
    0.130883897995104803E+00    0.244582187834166298E+01   -0.193243459281152994E+02    0.289000059322259972E+00   -0.820176728524162901E+00   -0.199772288857862873E+04
    0.123586956752995025E+00    0.250625197023665436E+01   -0.193171946143622861E+02    0.163913324037724989E+00   -0.619407359148553605E+00   -0.199737944704926849E+04
    0.135457048873361963E+00    0.254765002549295616E+01   -0.193062494902481490E+02    0.895690671598535493E-01   -0.533750465187522338E+00   -0.199720472193945511E+04
    0.130203460876223698E+00    0.246965273471568025E+01   -0.193155244761482336E+02    0.211168241240533433E+00   -0.632374104513019564E+00   -0.199713133561818859E+04
    0.131988830476245766E+00    0.244089548312252447E+01   -0.193063254133185751E+02    0.213926280324696377E+00   -0.631215154253555122E+00   -0.199706461726086854E+04
    0.130859781164612610E+00    0.246227469082740935E+01   -0.193348885538027595E+02    0.258284327427582228E+00   -0.767572361433258021E+00   -0.199699918604657887E+04
    0.137879342040789776E+00    0.245577151140290351E+01   -0.193216690071067667E+02    0.241235359877084554E+00   -0.685873386670944329E+00   -0.199698914567005272E+04
    0.132346094071124298E+00    0.235835397220826604E+01   -0.193215659484825579E+02    0.205446645609781459E+00   -0.635171445925701073E+00   -0.199674536882501798E+04
    0.132853854938657978E+00    0.243075433301455224E+01   -0.193324611475879742E+02    0.158158508054782126E+00   -0.626874463516145286E+00   -0.199663619238627484E+04
    0.139200928441396421E+00    0.241216659352048879E+01   -0.193321934617181839E+02    0.288411494240899513E+00   -0.796225146524652261E+00   -0.199648432975999503E+04
    0.136166452796138593E+00    0.234596384268481284E+01   -0.193338663201135397E+02    0.170908723570661364E+00   -0.647902955989794638E+00   -0.199637012979649217E+04
    0.142542508832926185E+00    0.248419334184739782E+01   -0.193284675678886053E+02    0.202489906531691827E+00   -0.697459946535109232E+00   -0.199634357154751387E+04
    0.127072426766693614E+00    0.253866057312449556E+01   -0.193090731721176923E+02    0.109803153830064421E+00   -0.554124961924999271E+00   -0.199627007761332879E+04
    0.130152893938918712E+00    0.247238974792730826E+01   -0.193183672241318973E+02    0.306314577090565920E+00   -0.806809677120364777E+00   -0.199610229525355794E+04
    0.132352589581060887E+00    0.247027823826456050E+01   -0.193232470530689753E+02    0.170503137205471916E+00   -0.673399716000147919E+00   -0.199605247381877371E+04
    0.137585433027415771E+00    0.240778818725990362E+01   -0.193164302281380493E+02    0.232404032630335350E+00   -0.662767394249841546E+00   -0.199590653348259775E+04
    0.127071200560280317E+00    0.243375868036911047E+01   -0.193181445498313913E+02    0.461864483263830644E-01   -0.537563603519962463E+00   -0.199577628473804407E+04
    0.132920117437099528E+00    0.247875349113794208E+01   -0.193116524393292543E+02    0.227565326629621312E+00   -0.693951750440988224E+00   -0.199572953380626723E+04
    0.125538429230602766E+00    0.245968538762425215E+01   -0.193235316607977587E+02    0.980989784283243099E-01   -0.581647791399508618E+00   -0.199559536484428145E+04
    0.137518502949870225E+00    0.253357509014263105E+01   -0.193246910673468371E+02    0.224792504350212780E+00   -0.731272265074054850E+00   -0.199550114756008975E+04
    0.128362266408815096E+00    0.239889485088131948E+01   -0.193139020166418973E+02    0.223611015162058668E+00   -0.665593415754919926E+00   -0.199550085624278495E+04
    0.138965268290240029E+00    0.235877614170112349E+01   -0.193303479092079691E+02    0.199449493488797869E+00   -0.692679081924200357E+00   -0.199547589762316943E+04
    0.131057334247457469E+00    0.245729990235106577E+01   -0.193222918938672521E+02    0.318728976505759098E+00   -0.824679068900259216E+00   -0.199544986494063824E+04
    0.127225169826552520E+00    0.246719091682556524E+01   -0.193270832194862265E+02    0.226193466539496846E+00   -0.726334232406609659E+00   -0.199537565287904204E+04
    0.133732318398747552E+00    0.242623042834379277E+01   -0.193200299267443896E+02    0.137201662082106240E+00   -0.626304676937554872E+00   -0.199528834560750352E+04
    0.134057301123499339E+00    0.241739925294862790E+01   -0.193111484638853561E+02    0.586763948711128414E-01   -0.534426519979909309E+00   -0.199515824822292575E+04
