    0.131334179447878618E+00    0.240258389273789863E+01   -0.193220749471570130E+02    0.544394720382157749E+00    0.350116413384795766E+00   -0.200015523627443213E+04
    0.138402582115419115E+00    0.240032286569188624E+01   -0.193240769604873925E+02    0.543853213785328804E+00    0.328334058746857060E+00   -0.199977950464828496E+04
    0.133150230492273813E+00    0.244918890892074526E+01   -0.193093324407758651E+02    0.364399366084079801E+00    0.269721458025805993E+00   -0.199946058478681334E+04
    0.137282770030159984E+00    0.232235495750017940E+01   -0.193283735121293425E+02    0.480480857595092903E+00    0.273299592418103698E+00   -0.199931818287604892E+04
    0.139457333839778652E+00    0.237348241744295052E+01   -0.193371351014046304E+02    0.484306837925234879E+00    0.232620254846714808E+00   -0.199931552901025793E+04
    0.140809013064636446E+00    0.248007168368789266E+01   -0.193301600883087872E+02    0.454701058276026360E+00    0.201795054300601906E+00   -0.199904947340186141E+04
    0.140968704617179252E+00    0.247873136233154412E+01   -0.193258252422820327E+02    0.348535271602684160E+00    0.144410505101608633E+00   -0.199887482897982591E+04
    0.128416828917631953E+00    0.240901399405394478E+01   -0.193094062066756962E+02    0.327155358105489125E+00    0.236902314792817009E+00   -0.199862241945117398E+04
    0.136658282714372525E+00    0.255974896968164867E+01   -0.193147735452483218E+02    0.328323178486526146E+00    0.158014274285916051E+00   -0.199839660617909612E+04
    0.138657670843412184E+00    0.248381714567138978E+01   -0.193215255264565862E+02    0.401426440985876432E+00    0.249339597413859138E+00   -0.199818115803261639E+04
    0.136483053602499460E+00    0.238316670635775196E+01   -0.193183726406173051E+02    0.303631105509787780E+00    0.120045576081529742E+00   -0.199816959566878540E+04
    0.142086276241373710E+00    0.236132903498604207E+01   -0.193195142876886869E+02    0.382450120809992522E+00    0.211393789554518069E+00   -0.199816596476100813E+04
    0.130035570717901727E+00    0.240952942724744634E+01   -0.193140276250295635E+02    0.460641661296348315E+00    0.310825516480463027E+00   -0.199811142746786027E+04
    0.133496396984857046E+00    0.240015808568681521E+01   -0.193187183816760708E+02    0.504572690969647852E+00    0.328931233631118258E+00   -0.199793446988319420E+04
    0.133005678225792234E+00    0.231685446350254942E+01   -0.193289311776235593E+02    0.420627756869305980E+00    0.236549244191562757E+00   -0.199791535182372240E+04
    0.133850211986033418E+00    0.248727720483632986E+01   -0.193333867225911860E+02    0.457375041755579193E+00    0.201462321857155263E+00   -0.199790245662183133E+04
    0.130657397128138619E+00    0.248173727890741969E+01   -0.193094568516994798E+02    0.224706223593114790E+00    0.122632297723748576E+00   -0.199785840939185550E+04
    0.132942762844731277E+00    0.252054449111370094E+01   -0.193087283245195280E+02    0.306707550323251144E+00    0.137576377057339522E+00   -0.199779373609455820E+04
    0.140659903908082029E+00    0.237519632172998296E+01   -0.193166823363109721E+02    0.395873201809004704E+00    0.254088802159080251E+00   -0.199778995908338834E+04
    0.137720976665991479E+00    0.233008454185417690E+01   -0.193282206691780480E+02    0.428148258466283516E+00    0.221323500106208521E+00   -0.199769634631561780E+04
    0.135273086509544171E+00    0.251731970724295540E+01   -0.193162601846514406E+02    0.290456462170810281E+00    0.111388922701628548E+00   -0.199757290969698852E+04
    0.133113198159256374E+00    0.243628181444343106E+01   -0.193090618417762343E+02    0.272446111107758515E+00    0.187276199991918968E+00   -0.199751647743781450E+04
    0.134718807169130983E+00    0.243090285105038717E+01   -0.193069134420405710E+02    0.218067147360599872E+00    0.132485467622460468E+00   -0.199750446639329812E+04
    0.130325289525458743E+00    0.251360787993521129E+01   -0.193224038493377783E+02    0.410374966782730111E+00    0.247686150130012661E+00   -0.199749515855672007E+04
    0.131470029874446670E+00    0.235477848392616096E+01   -0.193151369272598039E+02    0.268143368056718401E+00    0.162072646430536565E+00   -0.199749174072542382E+04
    0.135741600434049037E+00    0.252914270346042258E+01   -0.193114802895047006E+02    0.444042872411403222E+00    0.274506909636139218E+00   -0.199738299265228557E+04
