   -0.164426139593124390E+02    0.302620383118964308-313
   -0.180664912462234497E+02    0.302620383118964308-313
   -0.200836730003356934E+02    0.302620383118964308-313
   -0.208033365011215210E+02    0.302620383118964308-313
   -0.153320692777633667E+02    0.302620383118964308-313
   -0.201462392807006836E+02    0.302620383118964308-313
   -0.198782476186752319E+02    0.302620383118964308-313
   -0.202431278228759766E+02    0.302620383118964308-313
   -0.167083511352539062E+02    0.302620383118964308-313
   -0.208882294893264771E+02    0.302620383118964308-313
   -0.184530079364776611E+02    0.395252516672997235-321
   -0.189608030319213867E+02    0.395252516672997235-321
   -0.171020797491073608E+02    0.395252516672997235-321
   -0.184621882438659668E+02    0.395252516672997235-321
   -0.168920162916183472E+02    0.395252516672997235-321
   -0.166205631494522095E+02    0.395252516672997235-321
   -0.181558774709701538E+02    0.395252516672997235-321
   -0.177103904485702515E+02    0.395252516672997235-321
   -0.158562294244766235E+02    0.395252516672997235-321
   -0.159948924779891968E+02    0.395252516672997235-321
   -0.170533204078674316E+02    0.395252516672997235-321
   -0.169028420448303223E+02    0.395252516672997235-321
   -0.208332570791244507E+02    0.395252516672997235-321
   -0.158808106184005737E+02    0.395252516672997235-321
   -0.206228638887405396E+02    0.395252516672997235-321
   -0.206016683578491211E+02    0.395252516672997235-321
   -0.197234412431716919E+02    0.395252516672997235-321
   -0.171850311756134033E+02    0.395252516672997235-321
   -0.183530015945434570E+02    0.395252516672997235-321
   -0.190975849628448486E+02    0.395252516672997235-321
   -0.165822182893753052E+02    0.395252516672997235-321
   -0.186766204833984375E+02    0.395252516672997235-321
   -0.192433691024780273E+02    0.395252516672997235-321
   -0.154743887186050415E+02    0.395252516672997235-321
   -0.153191624879837036E+02    0.395252516672997235-321
   -0.185140067338943481E+02    0.395252516672997235-321
   -0.183183950185775757E+02    0.395252516672997235-321
   -0.153559598922729492E+02    0.395252516672997235-321
   -0.197920306921005249E+02    0.395252516672997235-321
   -0.197748241424560547E+02    0.395252516672997235-321
