    0.133401918754734172E+00    0.240337815803479415E+01   -0.193502633968446496E+02    0.644307403512280552E+00   -0.201230086885197557E+04
    0.134539073862501191E+00    0.231406896740693568E+01   -0.193388461378729986E+02    0.630546434020170743E+00   -0.201196831062032902E+04
    0.131364661950597039E+00    0.239472937315112322E+01   -0.193287856895008581E+02    0.628586050721847700E+00   -0.201101688057752017E+04
    0.124480925996855785E+00    0.247418105351141548E+01   -0.193278839589031364E+02    0.612835475478877512E+00   -0.200986505803564842E+04
    0.132531862774150966E+00    0.242924456430134850E+01   -0.193305829352561673E+02    0.591256530766601673E+00   -0.200978935752591610E+04
    0.134403235470600180E+00    0.234427162730641747E+01   -0.193263046530303306E+02    0.598186101699214379E+00   -0.200967277681463179E+04
    0.139437125659206629E+00    0.237799124087764913E+01   -0.193406122247966969E+02    0.614404053582420007E+00   -0.200963990072980755E+04
    0.141234599885652123E+00    0.243419019320583985E+01   -0.193465003706886023E+02    0.650387768475508277E+00   -0.200956539342111955E+04
    0.124974321208759953E+00    0.244184648053164288E+01   -0.193273211414565544E+02    0.606907794614346741E+00   -0.200949366627753602E+04
    0.140318850276946794E+00    0.241616845431683913E+01   -0.193329885235616388E+02    0.638452743432360470E+00   -0.200920050374481480E+04
    0.142026911065590511E+00    0.241955221543601695E+01   -0.193413371417069158E+02    0.648566665862845726E+00   -0.200913947644202858E+04
    0.130082815697591059E+00    0.239994446987498478E+01   -0.193391650857679878E+02    0.641857470985183198E+00   -0.200908022379223303E+04
    0.141474242537035000E+00    0.253017722275468238E+01   -0.193355102917879336E+02    0.631722649208403819E+00   -0.200892864255269001E+04
    0.134998708875104789E+00    0.242981957567462015E+01   -0.193336638122398341E+02    0.643398040668678450E+00   -0.200891246265700829E+04
    0.127580019333522365E+00    0.251861466821648250E+01   -0.193299360419153814E+02    0.609702052898853375E+00   -0.200887722852710135E+04
    0.132137898562869616E+00    0.242412666849541569E+01   -0.193335367026349516E+02    0.598249263859954472E+00   -0.200885473399150351E+04
    0.135990023519083625E+00    0.244042607952923785E+01   -0.193379152512296208E+02    0.609299933027524721E+00   -0.200870430983574556E+04
    0.138511366773509170E+00    0.240890235685525678E+01   -0.193384123615688921E+02    0.610432191747619868E+00   -0.200854660831328511E+04
    0.139229387359264933E+00    0.239321917183454413E+01   -0.193242075411948733E+02    0.603413746605856893E+00   -0.200844445816390476E+04
    0.128197637651849217E+00    0.251402685620732136E+01   -0.193274082283313504E+02    0.604191018081976838E+00   -0.200822213144075477E+04
    0.137871188210439755E+00    0.245578530406013407E+01   -0.193434792691312722E+02    0.655116590668453513E+00   -0.200817506358474975E+04
    0.142393203115321221E+00    0.247920095034521459E+01   -0.193277421592510166E+02    0.609985125442679021E+00   -0.200814628254950117E+04
    0.134012367609963601E+00    0.254357484369583275E+01   -0.193283917120456792E+02    0.608032157903147241E+00   -0.200810843750624895E+04
    0.133644427766544727E+00    0.250455173242985296E+01   -0.193193287096165349E+02    0.592283993443062706E+00   -0.200810600513716668E+04
    0.133393688214224593E+00    0.247839833418931832E+01   -0.193223025074535251E+02    0.587991781263702662E+00   -0.200808518101929394E+04
    0.133587765382869872E+00    0.251230432906569945E+01   -0.193296675155090760E+02    0.639212005469385502E+00   -0.200807196180517485E+04
    0.128394858834432135E+00    0.250771890402362629E+01   -0.193336572856067264E+02    0.637157207868789155E+00   -0.200801235109376466E+04
    0.141539787289068020E+00    0.243149126243404901E+01   -0.193409052804105777E+02    0.625660109318645907E+00   -0.200797930061855914E+04
    0.128960268129844735E+00    0.242599277671695646E+01   -0.193221690709779672E+02    0.593624445377935461E+00   -0.200797869612640329E+04
    0.133118386896434959E+00    0.246917040414676592E+01   -0.193287985096255177E+02    0.635084364016370362E+00   -0.200783110665876688E+04
    0.134331364894226812E+00    0.244343863627747915E+01   -0.193294671383680559E+02    0.634591177509535420E+00   -0.200782220058111261E+04
    0.131854026346978515E+00    0.235121544686306994E+01   -0.193367057273222791E+02    0.624532776525376421E+00   -0.200780022733832766E+04
    0.133213589374936880E+00    0.241689224367451772E+01   -0.193342774223831597E+02    0.639924383205577318E+00   -0.200779892092911678E+04
    0.136101828908911759E+00    0.243667939318373605E+01   -0.193411175875249839E+02    0.619415982515476471E+00   -0.200775619594073100E+04
    0.132070809300456116E+00    0.243636173369782139E+01   -0.193238243221187354E+02    0.617011575474558871E+00   -0.200775151888927940E+04
    0.138789449795696740E+00    0.238861863396032881E+01   -0.193363318843451708E+02    0.607648350132940496E+00   -0.200772366995477614E+04
    0.135934954527662466E+00    0.251339184437716412E+01   -0.193208278935510336E+02    0.597312053270840138E+00   -0.200769191575203149E+04
    0.130295719618517936E+00    0.245657437770651388E+01   -0.193196708577950247E+02    0.594081750856165658E+00   -0.200767578568099771E+04
    0.126376794069485765E+00    0.246153586239263156E+01   -0.193293610051685185E+02    0.620008685713677066E+00   -0.200763528080297237E+04
    0.136361395112749140E+00    0.252925047350481691E+01   -0.193299541658317651E+02    0.609510864741620195E+00   -0.200757189092665112E+04
    0.136601287376353575E+00    0.252140883245638747E+01   -0.193387836628931993E+02    0.630420507359863436E+00   -0.200749623829892994E+04
    0.134107393096758010E+00    0.254347996880213056E+01   -0.193309087876692374E+02    0.638261769783377453E+00   -0.200749541342985094E+04
    0.136019373884874284E+00    0.248383297040467266E+01   -0.193410239352729540E+02    0.653006898812749093E+00   -0.200742362507430630E+04
    0.134752603722025466E+00    0.248039522237231047E+01   -0.193422501875825361E+02    0.652597346375583087E+00   -0.200741374026545236E+04
