    0.123940779029948711E+00    0.240579955695364234E+01   -0.193189048712457492E+02    0.738533283443750244E+00    0.248516815655232121E+00   -0.697350183311798100E+00   -0.200009091351734401E+04
    0.141698162305396114E+00    0.233633977063262943E+01   -0.193158820994270819E+02    0.684565664707225907E+00    0.136751692017313187E+00   -0.632846865394804725E+00   -0.200005720591135605E+04
    0.129936652699100819E+00    0.244370663507909391E+01   -0.193072486987257683E+02    0.552820891925721147E+00    0.370190763723077798E-01   -0.517550053558723189E+00   -0.199965570504145990E+04
    0.132316804729935900E+00    0.242017772912715046E+01   -0.193126609525199875E+02    0.783248531470536191E+00    0.168984769456112349E+00   -0.585059313919759738E+00   -0.199815408598034560E+04
    0.132253912453375921E+00    0.256060599129126842E+01   -0.193145012245329575E+02    0.389047278633400828E+00    0.139897148944095023E+00   -0.847358533291631577E+00   -0.199810570625454056E+04
    0.142146803064497451E+00    0.242006960708613850E+01   -0.193222749087102841E+02    0.714775701260470853E+00    0.853917621584056458E-01   -0.587931361139515607E+00   -0.199784505523047824E+04
    0.131870737160236118E+00    0.255261980696859148E+01   -0.193087969764178844E+02    0.704676516278856302E+00    0.824153499681863633E-01   -0.594576752970250921E+00   -0.199766877385780526E+04
    0.138220398374758968E+00    0.238744381115718607E+01   -0.193384872930065228E+02    0.951756567450898761E+00    0.149849595428999144E+00   -0.620292120784863066E+00   -0.199761976344478467E+04
    0.135753431188487816E+00    0.237471929936420167E+01   -0.193092516129686089E+02    0.386757284790152034E+00    0.955525838015554574E-01   -0.714817692868787491E+00   -0.199754694557706443E+04
    0.133074430200372795E+00    0.247333621429273087E+01   -0.193243367756443902E+02    0.634517057124576400E+00    0.193423169739988215E+00   -0.792632713332426242E+00   -0.199738919829735664E+04
    0.140507335048761117E+00    0.241432594512571264E+01   -0.193084817486290596E+02    0.502942767364565446E+00    0.154699627304280884E+00   -0.698029164094847054E+00   -0.199714106967132875E+04
    0.129294959604572490E+00    0.239240867966599691E+01   -0.193103243649584044E+02    0.574649106423867906E+00    0.237521106937069182E+00   -0.733200139768540260E+00   -0.199713834413543441E+04
    0.129843946575336489E+00    0.234530384115026713E+01   -0.193155069007188231E+02    0.569504530313845292E+00    0.943505388085777857E-01   -0.608922262691637739E+00   -0.199708717571029729E+04
    0.138172915251859152E+00    0.244267876967218189E+01   -0.193123076732715475E+02    0.647646091804549018E+00    0.345832585279359089E-01   -0.531064860071769229E+00   -0.199699854424290197E+04
    0.139810746143363307E+00    0.243386212122579249E+01   -0.193113920857514323E+02    0.972293914110474389E+00    0.154056889161788696E+00   -0.563055901731595032E+00   -0.199693831607251423E+04
    0.132322505727175965E+00    0.256223581828784575E+01   -0.193213541658677102E+02    0.493856781241959197E+00    0.229039395871922374E+00   -0.934537468075264832E+00   -0.199684660939654714E+04
    0.138598674364205365E+00    0.241233979009414590E+01   -0.193194493103029501E+02    0.973259904264602405E+00    0.188903026690982301E+00   -0.625027953886489573E+00   -0.199677244932229632E+04
    0.126978356854679841E+00    0.252045945378986413E+01   -0.193223615674654638E+02    0.407920500085381887E+00    0.213660205127321673E+00   -0.985920764035929875E+00   -0.199672455709701353E+04
    0.139303978034989839E+00    0.253335844495170992E+01   -0.193198762368836192E+02    0.894431698051445623E+00    0.115341760236673432E+00   -0.576123381376467791E+00   -0.199668689970311516E+04
    0.133556439606002275E+00    0.244437923704659799E+01   -0.193246592166472944E+02    0.425372949085255025E+00    0.261691911816218759E+00   -0.981462173788603010E+00   -0.199660738515641765E+04
    0.134605584474618567E+00    0.239763990266989957E+01   -0.193127199157646743E+02    0.453237213268103567E+00    0.280995931130335608E+00   -0.967741725720970836E+00   -0.199657023498785998E+04
    0.140972724202075295E+00    0.249959113693295087E+01   -0.193252791032061282E+02    0.774355592953023919E+00    0.261354292420511947E+00   -0.740862687113060803E+00   -0.199652641626143941E+04
    0.127969741301169559E+00    0.249329121030733791E+01   -0.193311424498922904E+02    0.923831600150394783E+00    0.170121538005544998E+00   -0.640235832897138479E+00   -0.199651384398477876E+04
    0.139061482174267059E+00    0.252104314667173313E+01   -0.193120647470791624E+02    0.610706956969958803E+00    0.125069919440647048E+00   -0.641769476067476141E+00   -0.199648727497510458E+04
    0.132166398656831774E+00    0.244015578155463686E+01   -0.193309512642302153E+02    0.830467637409946224E+00    0.129169577337603869E+00   -0.649331639876326694E+00   -0.199642006532995606E+04
    0.130450955474746610E+00    0.238267022928653116E+01   -0.193324496039794660E+02    0.488850207822724425E+00    0.280120499904041476E+00   -0.999835537477872460E+00   -0.199635569906512524E+04
    0.129537091013475436E+00    0.245714794273636716E+01   -0.193263938765381980E+02    0.851566158633607406E+00    0.192182352174554621E+00   -0.682875945337512391E+00   -0.199631968005540352E+04
    0.137789439653655421E+00    0.233774475761044265E+01   -0.193241574827355116E+02    0.368819734087689088E+00    0.197284068954829833E+00   -0.973840536961630199E+00   -0.199631408616326303E+04
    0.140107576135483747E+00    0.246295781255596946E+01   -0.193266715604342423E+02    0.664141106449256613E+00    0.210814221538936225E+00   -0.787781601316299041E+00   -0.199630500357960341E+04
    0.133580332265939905E+00    0.235613492349630693E+01   -0.193113847954343818E+02    0.662107272757292753E+00    0.127438433873297841E+00   -0.586950441158997638E+00   -0.199629863355649150E+04
    0.133776349264914440E+00    0.254980573810313160E+01   -0.193127858302950273E+02    0.458774421172773728E+00    0.190096262730761412E+00   -0.879671722490843577E+00   -0.199627785551134093E+04
    0.126223766119655689E+00    0.240875698938465632E+01   -0.193127706517886821E+02    0.354218805996925512E+00    0.161878200222978996E+00   -0.849268218591249457E+00   -0.199627312100382915E+04
    0.132158560792422719E+00    0.240152179864110238E+01   -0.193359028756626330E+02    0.761483493619229845E+00    0.254458789370242244E+00   -0.770974148961025341E+00   -0.199623332127948606E+04
    0.137629966896465561E+00    0.245732654716864651E+01   -0.193107757335106278E+02    0.375028388073451624E+00    0.163044158707161130E+00   -0.810658890659215037E+00   -0.199622227592734112E+04
    0.134903034534860744E+00    0.233460938286465591E+01   -0.193143002394373582E+02    0.555988691073521335E+00    0.172703674027419485E+00   -0.690262497475379488E+00   -0.199618012436538947E+04
    0.138564024775553740E+00    0.246401989006755961E+01   -0.193073212401251695E+02    0.509040299086036874E+00    0.101292846039771942E+00   -0.651428414307466674E+00   -0.199611729647136076E+04
    0.125908153640192477E+00    0.240240929038706774E+01   -0.193175676365971256E+02    0.532814320719431578E+00    0.123756307932474857E+00   -0.681751027684725841E+00   -0.199611320650482412E+04
    0.139034043811800068E+00    0.249462109612819471E+01   -0.193193084509123985E+02    0.733155800388406442E+00    0.216833320784226485E+00   -0.681508231501857908E+00   -0.199611024605366651E+04
    0.134214793480242900E+00    0.242848692380444842E+01   -0.193347592564202344E+02    0.687738425549427213E+00    0.232991037944566687E+00   -0.808338627692936185E+00   -0.199607917305721367E+04
    0.138596502010388978E+00    0.234835130684937532E+01   -0.193170887525649277E+02    0.442925629979659230E+00    0.164331111377867461E+00   -0.809240566029758468E+00   -0.199602546330593987E+04
    0.128740843324689269E+00    0.240075568739532841E+01   -0.193108290850923794E+02    0.693582431321323578E+00    0.241956862414668475E-01   -0.516086764748461602E+00   -0.199589847844574501E+04
    0.141317544906001569E+00    0.237777714109520844E+01   -0.193206248483737433E+02    0.569503988426742547E+00    0.215076212537249595E+00   -0.799441577391909908E+00   -0.199581004691356998E+04
    0.142371782122094892E+00    0.238188933731883346E+01   -0.193194280004352095E+02    0.815233169054729867E+00    0.156006200544829554E+00   -0.620119942634237975E+00   -0.199580648411732636E+04
    0.126311884006408803E+00    0.242292590267523344E+01   -0.193190256668575628E+02    0.492326913925474452E+00    0.261871691505347837E+00   -0.928295994651232581E+00   -0.199578305750812160E+04
    0.128273540269197905E+00    0.248545177140578222E+01   -0.193201890549086421E+02    0.503048936605699604E+00    0.244963136778225232E+00   -0.937902846207991137E+00   -0.199577959242686165E+04
    0.135615056497220721E+00    0.247118796941673402E+01   -0.193179489013072612E+02    0.482218849101701263E+00    0.160417586466423873E+00   -0.842223626461065189E+00   -0.199572614543812892E+04
    0.130889426829121192E+00    0.238048583524170443E+01   -0.193326993748883851E+02    0.862979391268452356E+00    0.241401689188868673E+00   -0.692377869197068119E+00   -0.199571635097032754E+04
    0.131095822135660178E+00    0.233169351666477542E+01   -0.193219729420218727E+02    0.815574016830125648E+00    0.989955077711868192E-01   -0.566253151458335768E+00   -0.199567989010753740E+04
    0.132833767443236272E+00    0.246881742148193251E+01   -0.193018486663753492E+02    0.597629306712532449E+00    0.120508768089647431E+00   -0.612402873533256287E+00   -0.199565732676525840E+04
    0.136399458886335978E+00    0.236318739665650401E+01   -0.193135262573541198E+02    0.812600205847238577E+00    0.185806977966755466E+00   -0.617015114789496555E+00   -0.199564776610332092E+04
    0.129360334063623572E+00    0.250692660760994190E+01   -0.193155153289125785E+02    0.399198571919630318E+00    0.217919664635262217E+00   -0.919469453195234987E+00   -0.199562077121645325E+04
    0.128834175351093982E+00    0.244514668027022353E+01   -0.193109596569587509E+02    0.379888644291161870E+00    0.998940167541031016E-01   -0.721879029506624526E+00   -0.199549685487635088E+04
    0.135187552113616327E+00    0.255206841562543474E+01   -0.193174105360176540E+02    0.807972073849559047E+00    0.140537847377442904E+00   -0.608445867975570209E+00   -0.199542640521280077E+04
    0.128032880414586270E+00    0.248899821535634391E+01   -0.193111386168831807E+02    0.683565497642040332E+00    0.715382357063972102E-01   -0.585921543765621111E+00   -0.199538497703384314E+04
    0.133902805545119463E+00    0.252399036461261872E+01   -0.193296365090394175E+02    0.861438549551548860E+00    0.182278066913823589E+00   -0.676203641529388944E+00   -0.199536940648074096E+04
    0.131805017987103312E+00    0.234251900644310851E+01   -0.193161165092031375E+02    0.409635741742770676E+00    0.214868629995982718E+00   -0.894945156368384565E+00   -0.199529971607520156E+04
    0.136991249074527310E+00    0.239775051627122959E+01   -0.193193612248944966E+02    0.531209732478784225E+00    0.272251355194976674E+00   -0.912805345579220218E+00   -0.199525783452354472E+04
    0.134251712370748066E+00    0.249876030323834719E+01   -0.193202494701799665E+02    0.548557276791090676E+00    0.109602014678605239E+00   -0.713797418655652161E+00   -0.199523896618897265E+04
    0.130220119705085846E+00    0.243543187901451930E+01   -0.193215233167630025E+02    0.555274203544995348E+00    0.208543678841961816E+00   -0.841001462923528953E+00   -0.199517412808743916E+04
    0.128760433806085928E+00    0.242597205524336967E+01   -0.193277573453454856E+02    0.592387153306124126E+00    0.154005817619555313E+00   -0.723314321431010931E+00   -0.199515391205418678E+04
    0.127141828978917015E+00    0.249695968963850934E+01   -0.193242680858363798E+02    0.475804529959960476E+00    0.243362564824967514E+00   -0.955718211186012190E+00   -0.199514134576139872E+04
    0.130070888837339194E+00    0.243735765294811024E+01   -0.193178851478494842E+02    0.807048950204040660E+00    0.226262653651939039E+00   -0.693623470236008788E+00   -0.199506367188892636E+04
    0.129452514551123610E+00    0.247135495833632923E+01   -0.193077461294526813E+02    0.343581634908505018E+00    0.156239841381751815E+00   -0.829967510145127374E+00   -0.199505084553153529E+04
    0.131116583173264356E+00    0.240615150840182146E+01   -0.193348817996763032E+02    0.971491309521293922E+00    0.197153823773594250E+00   -0.642401807500096234E+00   -0.199504397315402366E+04
    0.140653284308920323E+00    0.247244635615378527E+01   -0.193233102353275754E+02    0.624801943317683017E+00    0.182346148644992018E+00   -0.718395551507731156E+00   -0.199502455492801141E+04
    0.138579733011927164E+00    0.237939436410659688E+01   -0.193301966611646421E+02    0.685272772835803012E+00    0.229260601406829356E+00   -0.779613368451283373E+00   -0.199501985851200902E+04
    0.131726818123667488E+00    0.234741811687267976E+01   -0.193289240732463270E+02    0.777952237010075431E+00    0.141746356500569881E+00   -0.636093924574365532E+00   -0.199500630238667486E+04
    0.127033090165733498E+00    0.237654663349150930E+01   -0.193149481004350605E+02    0.940961805380059246E+00    0.419985679211243371E-01   -0.506680887966187710E+00   -0.199500298879158322E+04
    0.128025409985098815E+00    0.242780225417874362E+01   -0.193112930780213894E+02    0.418594157753373552E+00    0.172511240801367788E+00   -0.853840303016327518E+00   -0.199497829433311313E+04
    0.129159514061977454E+00    0.244263754074620554E+01   -0.193313300846704692E+02    0.704153670250324160E+00    0.243776502490715391E+00   -0.784322714490505057E+00   -0.199495225457940182E+04
    0.140153180346216821E+00    0.241408601628893571E+01   -0.193175644478386808E+02    0.601035267212494784E+00    0.228606942774871036E+00   -0.791733536736243249E+00   -0.199492996882807574E+04
    0.135505198413989003E+00    0.243724525974223649E+01   -0.193121668617498372E+02    0.377815163518297747E+00    0.115065303397846042E+00   -0.815847642478956026E+00   -0.199490763450390659E+04
    0.129837835453711303E+00    0.239683189308743749E+01   -0.193208265556824337E+02    0.800743499012092852E+00    0.189852076139495424E+00   -0.671438714541120696E+00   -0.199487010913418771E+04
    0.139427282161137089E+00    0.247248040882546505E+01   -0.193242736259262138E+02    0.873841168846175353E+00    0.157372849389579877E+00   -0.647134662698034435E+00   -0.199485367856197922E+04
    0.129938310210977459E+00    0.235331082630932187E+01   -0.193177619980806128E+02    0.877079827999574291E+00    0.106824069966683116E+00   -0.548345947813296375E+00   -0.199483678644406154E+04
    0.133838675369085447E+00    0.240874837461659297E+01   -0.193204497499821564E+02    0.761521250438301545E+00    0.843974494540486037E-01   -0.555537036630657455E+00   -0.199481073948126982E+04
    0.134418528648936775E+00    0.248938650538354267E+01   -0.193065728518773483E+02    0.890292621605500933E+00    0.121832985918844713E+00   -0.547072350297145293E+00   -0.199479145604959808E+04
    0.138371250635279885E+00    0.237754180373573654E+01   -0.193136164650090194E+02    0.432838137276703061E+00    0.172720315315564532E+00   -0.788416341793644282E+00   -0.199479000322337924E+04
    0.133177353472729187E+00    0.240539816091092185E+01   -0.193105778638374588E+02    0.578314636468073351E+00    0.164259598993237360E+00   -0.648621328511995721E+00   -0.199475665544502385E+04
    0.136904726642485652E+00    0.247252794603532333E+01   -0.193220336744269225E+02    0.588844863315581835E+00    0.119252054527252196E+00   -0.710448876757810766E+00   -0.199475035650509653E+04
    0.132523759966773014E+00    0.237592695871200910E+01   -0.193241930131202295E+02    0.670651868281154862E+00    0.115406745660108792E+00   -0.657095685135021146E+00   -0.199473340308120805E+04
    0.132521206970128702E+00    0.234953370070692991E+01   -0.193257760252579835E+02    0.796589882367668478E+00    0.183647920208984433E+00   -0.668154983335280894E+00   -0.199470576883096078E+04
    0.130641748465612828E+00    0.250487062821479256E+01   -0.193072287438433392E+02    0.428651642979247738E+00    0.129016378711558216E+00   -0.753991519762851170E+00   -0.199469839249916117E+04
    0.128841064416942430E+00    0.247278660187724064E+01   -0.193228555642652466E+02    0.907311413626561425E+00    0.519722801227457190E-01   -0.533037799455002181E+00   -0.199468575481749940E+04
    0.130234380150342943E+00    0.240144734855462083E+01   -0.193159755270853815E+02    0.849287792256976815E+00    0.146313571265256959E+00   -0.570743806110466823E+00   -0.199465739826158597E+04
    0.127035218105443271E+00    0.244105522581795853E+01   -0.193148838370557918E+02    0.468293299115794981E+00    0.260584464406983796E+00   -0.926242960960301120E+00   -0.199465515414976335E+04
    0.140451791736155851E+00    0.238929979615197219E+01   -0.193159707743008582E+02    0.907786865684975242E+00    0.473609686177144246E-01   -0.516670746223374833E+00   -0.199464919348916237E+04
    0.133605850202179965E+00    0.244434285167210863E+01   -0.193228921352479155E+02    0.809954892250827063E+00    0.172069766085377912E+00   -0.675278170272073153E+00   -0.199463831864175881E+04
    0.134908645073239519E+00    0.249377275492240891E+01   -0.193139115253114433E+02    0.652779411109715824E+00    0.510153185974475190E-01   -0.574902055258909139E+00   -0.199463107067866008E+04
    0.134360003887102675E+00    0.244962970505212141E+01   -0.193319899780225875E+02    0.699659943050398470E+00    0.280294253071093735E+00   -0.833065952906565044E+00   -0.199462315287255228E+04
    0.128530197441779404E+00    0.239433531190499060E+01   -0.193111079748953358E+02    0.778882446440876230E+00    0.393296880302169694E-01   -0.513339830384780149E+00   -0.199462157962395099E+04
    0.134550114624615080E+00    0.239281670525012924E+01   -0.193265575499330922E+02    0.724086636707888420E+00    0.149950061685768521E+00   -0.633979359710140411E+00   -0.199462100092721266E+04
    0.132524285976599376E+00    0.243592933089171826E+01   -0.193243222897491798E+02    0.883643568048056216E+00    0.159111384254634919E+00   -0.644571022008361139E+00   -0.199458686439833082E+04
    0.129866522014733476E+00    0.242732301883398449E+01   -0.193225864710098172E+02    0.676798608973304017E+00    0.285740334852504940E+00   -0.778492913231795702E+00   -0.199457803150088694E+04
    0.138703883996200705E+00    0.237771644013271199E+01   -0.193291495987192548E+02    0.673472891233834359E+00    0.175397637020633906E+00   -0.727577143422393879E+00   -0.199457622583048374E+04
    0.138953456191860170E+00    0.248552629405968162E+01   -0.193275008549390250E+02    0.812925860872736439E+00    0.202985054872368009E+00   -0.705259541409365642E+00   -0.199453768706818164E+04
    0.139423525573328266E+00    0.240889300419883945E+01   -0.193234893218048533E+02    0.447931082240941525E+00    0.153050271777106062E+00   -0.809977375240597541E+00   -0.199452949523255302E+04
    0.131431215048805949E+00    0.251180293365871954E+01   -0.193163414030615641E+02    0.611501811705739362E+00    0.139306916128292962E+00   -0.653601642658696580E+00   -0.199452620597936016E+04
    0.137244702327025347E+00    0.243716163200978908E+01   -0.193323394957759831E+02    0.618071059287723323E+00    0.274252094327757989E+00   -0.890218946821047408E+00   -0.199452462337683005E+04
    0.131588271637832488E+00    0.246556610700819245E+01   -0.193154369477971777E+02    0.985135453012489282E+00    0.700046386428017087E-01   -0.508710830373994005E+00   -0.199449127123007861E+04
    0.136389453511846170E+00    0.239642193327038910E+01   -0.193283483888290242E+02    0.969207344529149029E+00    0.195521817566126493E+00   -0.611750049290325837E+00   -0.199447563178304472E+04
