   -0.112865752751769399E+01    0.521918223637668888E+01   -0.683089982053494538E+01
   -0.700564419482931910E+00    0.308843489468380739E+01   -0.641295601056756048E+01
   -0.711113368959722436E+00    0.306023540439742447E+01   -0.542960632968385148E+01
   -0.103307233557551648E+01    0.497357425062484992E+01   -0.521358789498469388E+01
   -0.108009204062680908E+01    0.505126751535857821E+01   -0.488555694731478951E+01
   -0.993489985160570299E+00    0.402193049128095836E+01   -0.488342979312400072E+01
   -0.996020430179605398E+00    0.481539183162654538E+01   -0.468023797688407761E+01
   -0.829043561987520050E+00    0.320574578497335239E+01   -0.464849059096616823E+01
   -0.869322695054449923E+00    0.421267120281806484E+01   -0.456689747429674586E+01
   -0.927303793452713521E+00    0.450952533933327793E+01   -0.450701811928757667E+01
   -0.970605911243357156E+00    0.390426312623897687E+01   -0.449412262507071070E+01
   -0.735352386968402882E+00    0.300956853942260949E+01   -0.444574427869221278E+01
   -0.941297462334535595E+00    0.374408396237829422E+01   -0.439625716706396474E+01
   -0.820286607377946453E+00    0.318965506782360464E+01   -0.432944459445272400E+01
   -0.844623498338560097E+00    0.405413972056915384E+01   -0.423010250435836532E+01
   -0.103367941784160067E+01    0.491224588354964631E+01   -0.419179308359265423E+01
   -0.778897606339683080E+00    0.361502047277645033E+01   -0.418506159520568310E+01
   -0.958325037195752572E+00    0.385293066100821946E+01   -0.411008148142496665E+01
   -0.107488450569614358E+01    0.469736513994302740E+01   -0.409654288835904978E+01
   -0.741167956818546969E+00    0.322668669044146306E+01   -0.398808712886715711E+01
   -0.930040273129739248E+00    0.370465200332247058E+01   -0.397311189493537542E+01
   -0.108025519720280805E+01    0.488105269949675069E+01   -0.393415608376256110E+01
   -0.753327084981769701E+00    0.337064768201780751E+01   -0.393211762341310100E+01
   -0.782251270876146876E+00    0.361710938507269120E+01   -0.387200348105418524E+01
   -0.816560662214651956E+00    0.320519728511553836E+01   -0.383442689704013029E+01
   -0.107589951539455697E+01    0.476701457538426965E+01   -0.382609117538161891E+01
   -0.743914428773233993E+00    0.321790966162947356E+01   -0.379307538437462766E+01
   -0.971775173089190147E+00    0.466938951621903620E+01   -0.374420516945914228E+01
   -0.907014015741703261E+00    0.437134146238018495E+01   -0.373241572148916845E+01
   -0.102146712126837080E+01    0.483924167207284839E+01   -0.363643999948380703E+01
   -0.881298766773983999E+00    0.348154745667302201E+01   -0.361592950836870619E+01
   -0.910689251783253439E+00    0.438251076524284855E+01   -0.359206898678859465E+01
   -0.991398065703272380E+00    0.408080995000317870E+01   -0.357976138019467882E+01
   -0.797077396502125168E+00    0.370502522400251877E+01   -0.356888783751792094E+01
   -0.107187025549708537E+01    0.484238726822112042E+01   -0.356272690925839530E+01
   -0.814615951604347188E+00    0.321840161738062669E+01   -0.352306010624627142E+01
   -0.824992176428542834E+00    0.325541859868413752E+01   -0.350386990988501967E+01
   -0.979671341171670207E+00    0.401353738522007930E+01   -0.348015410627890986E+01
   -0.866799847729950557E+00    0.414167221060851176E+01   -0.346477033437629078E+01
   -0.106607413805367024E+01    0.470564608599326739E+01   -0.344183307939775940E+01
   -0.100241755255912857E+01    0.476627887866937883E+01   -0.344125111956343721E+01
   -0.987318309136350436E+00    0.471185410470438626E+01   -0.342929515112893935E+01
   -0.106275429388724696E+01    0.466407211015854806E+01   -0.341551803170290080E+01
   -0.856386847631370074E+00    0.338443607603156948E+01   -0.338995257318713294E+01
   -0.758458318929550401E+00    0.333943647855678094E+01   -0.335261694317486736E+01
   -0.957337760065104959E+00    0.458678871894352191E+01   -0.335163901331522451E+01
   -0.104970369248233908E+01    0.453247122404852121E+01   -0.334799336931305724E+01
   -0.106379213744531675E+01    0.484405129090793807E+01   -0.332609713889860048E+01
   -0.945214383967428518E+00    0.452920942426150219E+01   -0.327365652386552730E+01
   -0.789990952605148067E+00    0.317264244871492096E+01   -0.321245192511016331E+01
   -0.104276344724451775E+01    0.448427160587213081E+01   -0.320970099830767097E+01
   -0.103627258975441272E+01    0.483518980318170755E+01   -0.316918201597086124E+01
   -0.896702650395365453E+00    0.428738710561751724E+01   -0.315893062413745040E+01
   -0.103633669714571752E+01    0.443903739066364267E+01   -0.310706574013371251E+01
   -0.106088022358245126E+01    0.476930060502977682E+01   -0.307944573732223636E+01
