    0.133996765537710338E+00    0.251051162765278768E+01   -0.193165307425475241E+02    0.413167372964165114E+00   -0.201070749019312325E+04
    0.132893377721730932E+00    0.243900971798956689E+01   -0.193466281456376734E+02    0.366202381196970850E+00   -0.201060509840280315E+04
    0.134495128268247832E+00    0.232228561936224676E+01   -0.193408005988655951E+02    0.372542369274056873E+00   -0.201003287733490629E+04
    0.131678356254492535E+00    0.237452440718796431E+01   -0.193248870141442879E+02    0.390505051384527124E+00   -0.200978654636177498E+04
    0.135376999220500061E+00    0.247785090542324404E+01   -0.193287153940520611E+02    0.360916194575423732E+00   -0.200954852535419923E+04
    0.128733893449848313E+00    0.239452532223798542E+01   -0.193235381712203882E+02    0.398309565542617816E+00   -0.200939332516024706E+04
    0.128647428611325498E+00    0.247678840532889222E+01   -0.193368552109488121E+02    0.385016731756327946E+00   -0.200919821945290141E+04
    0.139149827400178783E+00    0.240741468405680159E+01   -0.193360334814591752E+02    0.394953191791846792E+00   -0.200897850745185337E+04
    0.141684930885488836E+00    0.252578619429413109E+01   -0.193279050894445739E+02    0.382672993836120967E+00   -0.200888872514283162E+04
    0.127548713987543305E+00    0.244059898448869284E+01   -0.193377392260319745E+02    0.361674091496419103E+00   -0.200879248051914442E+04
    0.138673359542093255E+00    0.240995147467553394E+01   -0.193361037782349854E+02    0.394758958178661801E+00   -0.200868101021325083E+04
    0.136891698657960248E+00    0.241452148652438137E+01   -0.193425583272140358E+02    0.379271201419859760E+00   -0.200849266239074518E+04
    0.128518504651782273E+00    0.239274897583195401E+01   -0.193259575350551209E+02    0.393789189292624076E+00   -0.200848122048687651E+04
    0.130832642099421470E+00    0.252680092485852548E+01   -0.193390098702381614E+02    0.365013534184810029E+00   -0.200842159110624448E+04
    0.138083694285559222E+00    0.233725302513598265E+01   -0.193400241533118518E+02    0.376570835332672105E+00   -0.200834798132113133E+04
    0.128741535852822775E+00    0.247019981071190742E+01   -0.193338347306290181E+02    0.392141658855787223E+00   -0.200832792789240739E+04
    0.129899844630271932E+00    0.236619229370594120E+01   -0.193363373645657184E+02    0.373446208547215275E+00   -0.200826054737792379E+04
    0.135788056455046213E+00    0.243149260349783169E+01   -0.193442955697113277E+02    0.371731116283660734E+00   -0.200824221083316888E+04
    0.132263100189502492E+00    0.255321770600489373E+01   -0.193349918873685986E+02    0.371128377289784206E+00   -0.200823347257788805E+04
    0.141648246474240569E+00    0.250055548858800858E+01   -0.193281393987371075E+02    0.389294841649040324E+00   -0.200819723974903104E+04
